transaction_id,transaction_timestamp,store_id,product_id,quantity,unit_price,discount,currency,total_amount
TXN800001,2024-04-26 17:10:00,ST049,PRD2185,4,1874,20.0,USD,7476
TXN800002,2024-05-17 01:30:00,ST079,PRD2074,3,1762,0.0,USD,5286
TXN800003,2024-01-10 05:49:00,ST005,PRD2115,1,1203,,USD,1203
TXN800004,2024-01-03 17:45:00,ST065,PRD2131,4,1667,20.0,USD,6648
TXN800005,2024-02-10 18:43:00,ST005,PRD2095,2,1026,10.0,USD,2042
TXN800006,2024-06-04 02:48:00,ST068,PRD2069,2,814,50.0,USD,1578
TXN800007,2024-05-08 18:09:00,ST049,PRD2130,1,166,0.0,USD,166
TXN800008,2024-07-22 04:02:00,ST027,PRD2027,-1,1043,50.0,USD,-1093
TXN800009,2024-08-23 01:37:00,ST019,PRD2048,1,1897,50.0,USD,1847
TXN800010,2024-05-08 07:46:00,ST005,PRD2056,1,239,0.0,USD,239
TXN800011,2024-01-23 21:39:00,ST005,PRD2097,-1,383,,USD,-383
TXN800012,2024-06-07 09:59:00,ST070,PRD2079,2,378,0.0,USD,756
TXN800013,2024-07-10 11:20:00,ST001,PRD2030,2,309,50.0,USD,568
TXN800014,2024-03-30 19:58:00,ST079,PRD2193,-1,900,,USD,-900
TXN800015,2024-07-02 17:58:00,ST030,PRD2097,0,277,20.0,USD,-20
TXN800016,2024-01-09 07:26:00,ST063,PRD2175,-1,675,,USD,-675
TXN800017,2024-05-28 11:24:00,ST053,PRD2124,4,1701,0.0,USD,6804
TXN800018,2024-07-25 21:51:00,ST075,PRD2051,1,1539,10.0,USD,1529
TXN800019,2024-02-06 17:49:00,ST029,PRD2119,0,1429,0.0,USD,0
TXN800020,2024-03-25 09:55:00,ST051,PRD2101,-1,1343,20.0,USD,-1363
TXN800021,2024-04-20 06:36:00,ST070,PRD2025,3,1909,,USD,5727
TXN800022,2024-07-20 01:12:00,ST080,PRD2046,1,1667,20.0,USD,1647
TXN800023,2024-04-09 21:58:00,ST079,PRD2094,1,121,,USD,121
TXN800024,2024-07-04 01:57:00,ST001,PRD2104,2,1026,20.0,USD,2032
TXN800025,2024-08-14 22:16:00,ST075,PRD2180,1,1311,50.0,USD,1261
TXN800026,2024-06-08 11:59:00,ST022,PRD2048,4,1719,,USD,6876
TXN800027,2024-07-17 02:33:00,ST072,PRD2101,1,540,0.0,USD,540
TXN800028,2024-04-28 20:23:00,ST077,PRD2006,2,1483,10.0,USD,2956
TXN800029,2024-08-05 00:34:00,ST069,PRD2014,1,866,50.0,USD,816
TXN800030,2024-02-06 07:18:00,ST007,PRD2125,0,1683,0.0,USD,0
TXN800031,2024-02-15 15:32:00,ST042,PRD2155,4,1380,,USD,5520
TXN800032,2024-08-19 11:37:00,ST014,PRD2068,1,1580,10.0,USD,1570
TXN800033,2024-07-06 08:28:00,ST036,PRD2153,4,1902,10.0,USD,7598
TXN800034,2024-01-29 17:21:00,ST029,PRD2161,2,321,10.0,USD,632
TXN800035,2024-08-29 08:38:00,ST065,PRD2137,0,558,,USD,0
TXN800036,2024-05-19 19:56:00,ST062,PRD2169,1,1078,0.0,USD,1078
TXN800037,2024-04-27 08:56:00,ST045,PRD2174,-1,949,20.0,USD,-969
TXN800038,2024-02-09 01:59:00,ST044,PRD2128,1,1154,0.0,USD,1154
TXN800039,2024-08-18 09:39:00,ST076,PRD2105,1,466,,USD,466
TXN800040,2024-03-04 13:02:00,ST022,PRD2011,1,999,,USD,999
TXN800041,2024-05-27 20:57:00,ST056,PRD2074,1,1103,,USD,1103
TXN800042,2024-04-26 21:22:00,ST021,PRD2005,1,581,10.0,USD,571
TXN800043,2024-07-28 02:31:00,ST010,PRD2051,0,1130,0.0,USD,0
TXN800044,2024-02-01 02:26:00,ST063,PRD2149,0,1043,10.0,USD,-10
TXN800045,2024-08-07 07:08:00,ST060,PRD2002,0,154,10.0,USD,-10
TXN800046,2024-05-22 08:48:00,ST022,PRD2145,1,1871,10.0,USD,1861
TXN800047,2024-04-30 08:08:00,ST031,PRD2113,0,1379,50.0,USD,-50
TXN800048,2024-03-28 10:45:00,ST015,PRD2136,0,332,0.0,USD,0
TXN800049,2024-08-21 14:21:00,ST015,PRD2157,3,1300,50.0,USD,3850
